Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.2,7.129158728,7.790419945,2.980717996,6.779539219,5.773996923,3.277567134,14.83342857,6.065464478,2.959012259,3.304834876,3.700326405
0.3,10.72570767,11.39869325,4.433986847,10.23431883,8.613252409,4.848528477,20.81144299,9.153960632,4.433351397,4.965166943,5.530502536
0.4,14.12083223,14.77789483,5.940497361,13.73675688,11.57639079,6.518223824,26.00537849,12.4046194,5.933598266,6.66277074,7.312618327
0.5,17.83882069,17.9288038,7.413490082,17.03126038,14.54270066,8.228331229,30.52548731,15.59813965,7.501016024,8.33320659,9.144439108
0.6,21.59182497,21.27531715,8.974536939,20.28519229,17.37302721,9.829544211,34.79589589,18.5133122,8.996896422,9.971647129,11.09938025
0.7,25.58754155,24.49212764,10.41624958,23.6950954,20.28322626,11.54378467,38.52051594,21.64204126,10.49117578,11.56652914,12.90822161
0.8,29.56708414,27.88262614,11.92845029,27.01833205,23.4486075,13.27071129,42.08444293,24.69789562,12.17823486,13.25689189,14.81071667
0.9,34.00176839,31.30030839,13.31847169,30.53480162,26.41125797,15.0498751,45.2976331,27.91312235,13.70126016,14.9681358,16.58264477
1,37.71921814,34.50768502,14.76601838,33.90317874,29.4259695,16.75355331,48.39604497,31.31935793,15.40876888,16.70379717,18.46449033
2,81.87800122,66.32202865,29.53190889,70.16747045,59.6799393,34.79644644,71.55186858,65.89286244,31.79832005,34.27489178,37.06548665
3,125.1938006,99.39798581,45.27600109,106.2727856,91.91159538,53.2082144,87.21758829,96.08768911,49.97601413,51.00361162,54.61070877
4,162.2753202,133.6603058,61.80989524,142.6146467,128.5047199,73.13807509,98.15712484,119.478559,68.86129492,68.69162944,73.95846775
5,190.9149467,170.4981879,78.82862259,177.9680064,167.4316635,94.96351387,106.7168035,136.8381449,88.78288498,85.99261627,93.52405155
6,211.9969514,207.2150389,96.43145783,211.2312179,212.328016,119.4156216,113.2817198,150.0480584,111.9024061,107.102729,114.5186081
7,228.196903,242.3099604,114.152956,245.2463442,257.5553247,146.0854558,118.1352958,160.6614621,137.4105327,127.9228631,134.6302159
8,240.2470428,276.2642658,133.2232695,277.8220111,307.1214623,174.2214326,122.8399671,168.7672334,168.2056559,148.3119587,155.9157385
9,250.2567729,307.0907302,152.4092731,308.9650822,360.7217716,206.5123888,126.7979901,175.7835363,201.0825672,171.3146221,177.6269515
10,258.1451595,335.6866036,172.4534088,340.3966827,408.9700372,237.6660671,129.310481,181.8080703,236.3531055,194.1173428,199.7194494
20,296.7296277,495.4087499,423.2031195,620.7412201,707.5299666,463.5466809,146.6581818,211.1793226,455.864075,508.7027537,451.3834921
30,311.9057447,556.7339157,712.9949373,809.8929168,795.3624041,546.4407663,154.7682812,224.9443107,519.7369672,864.9155787,779.1743828
40,320.9686109,586.0980981,908.8005617,923.9842645,838.5784576,583.5723294,159.7235047,233.4285504,549.709156,1016.202933,1222.059829
50,326.2489467,604.2603094,1026.038433,986.7470925,861.6585879,604.2120416,163.3393095,237.2438445,567.3683316,1084.976347,1570.06955
60,330.2662756,614.9962444,1090.073897,1022.581748,878.9325673,618.8862683,165.2492467,240.1460301,579.0723677,1124.787325,1730.122909
70,331.6062019,620.0212903,1115.111465,1036.01436,885.6870396,623.2485892,166.4682337,242.173391,584.7168327,1139.904773,1781.426865
80,332.4995801,622.3726416,1124.816744,1042.707618,889.2625176,627.1481231,167.21582,242.5639641,587.1725364,1146.173776,1804.548183
90,332.7778854,624.3508727,1135.280162,1049.031306,894.681943,629.7806472,167.4502211,243.1743923,589.5384362,1155.030022,1826.332857
100,334.4960339,627.5031875,1143.481951,1054.082389,894.8617903,631.459929,168.0326743,243.548388,591.449932,1159.083323,1845.470695
