Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.22125,7.777081273,8.366508268,3.334930713,7.826141746,6.360551302,3.60156796,15.81266956,6.865494161,3.535648559,3.538918301,4.063703094
0.3325,11.68732492,12.36771629,4.983048532,11.57152688,9.608879366,5.405538458,21.86346925,10.34292318,5.26241375,5.23901054,6.010612207
0.44375,15.72652118,16.32305202,6.593079346,15.1294524,12.84952319,7.214378119,27.28509897,13.7328621,6.822400662,6.935016547,8.134577738
0.555,19.90910398,20.17353031,8.178162309,18.69756142,16.08715056,9.045734107,32.21468808,17.11706966,8.292875706,8.643927049,10.39150879
0.66625,24.22204589,23.90296853,9.750202403,22.35351447,19.34336031,10.91039811,36.73713016,20.55076519,9.73589695,10.37488515,12.71326505
0.7775,28.6435618,27.52096621,11.31843226,26.11332983,22.64050336,12.81460629,40.91254319,24.05990972,11.19138477,12.13304398,15.04525868
0.88875,33.15012826,31.04808831,12.88976229,29.96864862,25.99685626,14.76177307,44.78671016,27.65107772,12.68396082,13.92135015,17.35095379
1,37.71921658,34.50768491,14.46933157,33.90317862,29.4259698,16.75355388,48.39604378,31.31935825,14.22874402,15.74144958,19.60884723
1.1,41.86266181,37.57820804,15.89937947,37.49302742,32.57825361,18.58245317,51.43904897,34.67325629,15.66959337,17.40533297,21.58868428
2.2125,87.31876775,72.16336874,32.83834301,78.40473449,72.57395829,41.20943747,76.45430352,72.43326694,35.52139218,37.66162457,40.90551715
3.325,127.3015082,110.3978832,51.94923998,118.4531809,119.9313639,67.07297448,92.0687869,104.4714584,61.55784618,60.71062036,58.55281131
4.4375,160.5642267,151.362343,73.07089494,157.3021514,171.0248896,94.89481503,102.8782981,128.4672951,91.57270619,85.91174929,77.19053644
5.55,187.9268435,192.8001636,95.88174963,195.2824582,222.8690549,123.7077603,110.8568651,145.9198667,123.4888967,112.7227772,97.68571103
6.6625,210.4901661,232.8625347,120.0600558,232.5711628,273.4910313,152.8158137,117.0145134,158.7272021,155.74246,140.7060399,120.2937333
7.775,229.2248818,270.3682202,145.3135525,269.2104412,321.7258544,181.7248365,121.9271568,168.3598535,187.2717019,169.507926,145.0447552
8.8875,244.9082373,304.7095152,171.3845758,305.1718013,366.9672273,210.0880314,125.9489859,175.8294401,217.4138704,198.841156,171.8687775
10,258.1451607,335.6866012,198.0488497,340.3966829,408.9700353,237.6660633,129.3104823,181.8080712,245.7953786,228.471232,200.6440631
11,268.34408,360.7049707,222.3625787,371.375916,443.9398036,261.6513767,131.8988079,186.2794461,269.6568376,255.1992366,228.0507605
20.88888889,321.8887735,504.43214,460.3960037,635.7386372,675.202672,450.7754238,146.4800468,211.6907361,429.2849606,506.489818,550.6234828
30.77777778,339.909747,559.591124,663.9042302,820.730651,784.6007321,563.3090662,153.2579603,225.6222175,502.9156425,711.5291875,893.3115181
40.66666667,346.3260037,587.5070188,821.7951806,940.4693413,841.0084981,625.1051967,157.424682,234.6933132,539.8188129,866.2604047,1192.306057
50.55555556,347.8010757,604.5061979,938.3904447,1013.139082,871.6835598,655.5922694,160.3538398,240.4517417,560.2625589,978.1044856,1426.701145
60.44444444,346.8400615,615.5457522,1021.280876,1053.291941,888.298298,666.8700934,162.5749275,243.796845,572.5587702,1055.871939,1597.625035
70.33333333,344.5715706,622.5428712,1077.755868,1071.3342,896.480765,666.3244266,164.3401613,245.3682117,580.4124158,1107.291219,1714.473001
80.22222222,341.5688171,626.4748664,1113.906217,1074.455771,899.2420376,658.5104876,165.7875392,245.6348456,585.6205171,1138.584768,1788.299526
90.11111111,338.1483906,627.9718426,1134.564494,1067.580498,898.3370092,646.2833737,167.0003519,244.9427847,589.1237908,1154.603935,1829.188369
100,334.4960334,627.5031861,1143.482086,1054.082388,894.861788,631.4599313,168.0326738,243.5483878,591.4499093,1159.08358,1845.470748
