Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
4.4375,65.74204605,63.61991342,39.62144203,69.6281769,50.62308309,42.94338523,45.32047776,56.00662254,37.10211339,47.37885798,55.06596428
5.55,79.59469445,77.17633541,49.45665072,85.35104203,62.99470423,52.63238735,50.8974372,65.90177799,46.28710788,58.02720208,68.94834719
6.6625,91.80062568,90.03125962,59.38669551,100.4585071,75.14717293,61.99581801,55.75543793,74.67821032,55.39713334,68.16210217,82.70081212
7.775,102.5361149,102.248076,69.356981,114.9945179,87.10412073,71.10627964,60.06535491,82.52594044,64.39788015,77.89076639,96.30314113
8.8875,112.0211697,113.8798133,79.31631692,128.9991848,98.89110105,80.00836161,63.9587697,89.5925569,73.26383795,87.2941701,109.7422366
10,120.4631365,124.9720371,89.22398003,142.5087054,110.527649,88.72955202,67.50698738,95.99444251,81.97657315,96.4329676,123.0173805
11,127.3082228,134.5150765,98.06074792,154.256455,120.8694379,96.42862853,70.45333601,101.2588656,89.66669893,104.4597453,134.8128654
20.88888889,173.2684199,211.6595094,180.1916445,254.1202054,217.1902902,166.3043795,91.93460546,137.084627,157.8351642,177.9760217,244.4267084
30.77777778,200.8931243,266.8270066,252.7602692,332.4068438,300.597482,225.4690611,106.1675672,156.9997029,212.4811255,245.4841594,342.8397501
40.66666667,220.170563,307.9309597,317.4791393,396.0914316,369.4753588,274.7097271,116.8665616,169.4122711,256.1650431,309.126085,432.1247422
50.55555556,234.1498516,339.3758504,375.5545522,449.1721074,424.5727818,315.2258577,125.4564381,177.6413191,291.3172164,369.499756,513.8118868
60.44444444,244.3133095,363.8688019,427.7279935,494.1910748,467.6890622,348.3197147,132.6305662,183.2948889,319.8238613,426.8699368,589.115333
70.33333333,251.5896725,383.1859532,474.544169,532.87835,500.8231429,375.1984447,138.7664855,187.2548053,343.1026258,481.4113009,658.9244961
80.22222222,256.6339512,398.5489346,516.4677193,566.4694298,525.8185581,396.9092128,144.1583481,190.0471121,362.220424,533.2710516,723.9658549
90.11111111,259.9339536,410.8288192,553.9241751,595.8792389,544.2519771,414.3332567,148.9478578,192.0054633,377.9885737,582.586475,784.8096283
100,261.8629295,420.6647279,587.3117939,621.8048188,557.4245875,428.2017757,153.2377131,193.3516312,391.03187,629.4895374,841.9467305
