Pressure,Uptake,Error
1,0.000509516,0.000553058
3,0.001111672,0.000374882
10,0.003566615,0.001048566
20,0.007040591,0.001142875
40,0.013525346,0.001732301
100,0.032238495,0.002221555
1000,0.34573007,0.010586485
10000,3.179104721,0.06705641
40000,10.5416174,0.179658976
100000,20.68738685,0.143054852
1000000,100.8014836,1.000517126
10000000,268.1006536,0.878665759
